,distance,experiment,rx_label,tx_label,run,mean,trim_mean,median,std,dis1,dis2,conteo,cv,q1,q3,q3q1_ran,max,min,range,skew,kur,len
3725,0.0,X-d0.0m0dbm_in_M-R_bluetooth_le_null_A.csv,A,B,6,-36.3,-36.1640625,-35.0,1.7349351572897471,1.6150000000000013,1.3875,6.0,-0.047794356950130776,-38.0,-35.0,3.0,-34.0,-41.0,7.0,-0.6968387807394437,-0.5718038432246844,160
3726,0.0,X-d0.0m0dbm_in_M-R_bluetooth_le_null_B.csv,B,A,1,-29.7875,-29.7109375,-29.0,1.963375600846665,1.7737500000000004,1.5375,5.0,-0.06591273523614485,-32.0,-28.0,4.0,-27.0,-33.0,6.0,-0.4168006903168324,-1.325355662111211,160
3727,0.0,X-d0.0m0dbm_in_M-R_bluetooth_le_null_B.csv,B,A,2,-29.51875,-29.296875,-29.0,1.7355542162375681,1.434140625000001,1.18125,5.0,-0.05879497662460531,-32.0,-28.0,4.0,-28.0,-36.0,8.0,-1.112620340444011,0.1330363823475933,160
3728,0.0,X-d0.0m0dbm_in_M-R_bluetooth_le_null_B.csv,B,A,3,-30.0875,-29.984375,-29.0,1.8553554241707968,1.7343749999999982,1.475,5.0,-0.061665323611825404,-32.0,-29.0,3.0,-28.0,-33.0,5.0,-0.4651356334387463,-1.474475134186704,160
3729,0.0,X-d0.0m0dbm_in_M-R_bluetooth_le_null_B.csv,B,A,4,-37.15625,-37.1171875,-38.0,1.762621892948116,1.557421875,1.29375,5.0,-0.047438099726105735,-38.0,-35.0,3.0,-33.0,-40.0,7.0,0.265494346150784,-1.0591171655480713,160
3730,0.0,X-d0.0m0dbm_in_M-R_bluetooth_le_null_B.csv,B,A,5,-36.10625,-36.0625,-35.0,1.7663411158380495,1.618984374999999,1.36875,6.0,-0.0489206471410919,-38.0,-35.0,3.0,-33.0,-40.0,7.0,-0.45783011684774855,-0.9687513049913399,160
3731,0.0,X-d0.0m0dbm_in_M-R_bluetooth_le_null_B.csv,B,A,6,-36.775,-36.7734375,-38.0,1.7711225254058522,1.6434374999999979,1.475,7.0,-0.04816104759771182,-38.0,-35.0,3.0,-33.0,-41.0,8.0,0.08931560633345043,-0.9892738734470701,160
3732,0.0,X-d0.0m0dbm_in_M-R_bluetooth_le_null_C.csv,C,D,1,-43.7,-43.875,-46.0,2.731300056749531,2.645000000000002,2.3,4.0,-0.06250114546337598,-46.0,-40.0,6.0,-40.0,-46.0,6.0,0.4127015607315334,-1.7220008050082998,160
3733,0.0,X-d0.0m0dbm_in_M-R_bluetooth_le_null_C.csv,C,D,2,-44.31875,-44.5,-46.0,2.0837822433018274,2.0174999999999996,1.68125,4.0,-0.04701807346330452,-46.0,-42.0,4.0,-39.0,-46.0,7.0,0.4977088025910353,-1.5704477816502656,160
3734,0.0,X-d0.0m0dbm_in_M-R_bluetooth_le_null_C.csv,C,D,3,-43.80625,-43.78125,-42.0,2.017104592602969,2.001796875,1.84375,4.0,-0.046046045772075196,-46.0,-42.0,4.0,-40.0,-46.0,6.0,-0.1466381321128271,-1.917441861493066,160
